week,count
2024-01-01,5
2024-01-08,74
2024-02-05,92
2024-03-04,21
2024-03-11,63
2024-04-01,4
2024-04-08,113
2024-05-06,128
2024-06-03,37
2024-06-10,150
2024-06-17,23
2024-06-24,18
2024-07-01,42
2024-07-08,137
2024-07-15,17
2024-07-22,8
2024-07-29,2
2024-08-05,170
2024-08-12,14
2024-08-19,22
2024-08-26,38
2024-09-02,25
2024-09-09,155
2024-09-16,73
2024-09-23,107
2024-09-30,39
2024-10-07,56
2024-10-14,153
2024-10-21,299
2024-10-28,220
2024-11-04,44
2024-12-02,18
2024-12-09,26
