REF,parcours_norm,sexe,age,tranche_age,dep_code,is_local_13,lead_days,has_club,promo_used,present,segment
300904,21km,F,28,25-34,75,False,155,False,False,True,1
300905,12km,F,28,25-34,13,True,155,False,False,True,2
300907,12km,H,28,25-34,13,True,155,False,False,False,2
300908,21km,H,32,25-34,13,True,155,False,False,True,4
300909,21km,H,36,35-44,13,True,155,False,False,True,4
300911,21km,F,26,25-34,13,True,155,False,False,True,4
300912,21km,H,27,25-34,69,False,155,False,False,True,1
300913,21km,F,42,35-44,13,True,155,False,False,True,4
300914,21km,H,31,25-34,13,True,155,False,False,True,4
300915,21km,F,24,18-24,13,True,155,False,False,True,4
300931,21km,H,28,25-34,13,True,155,True,False,True,0
300979,12km,H,26,25-34,59,False,155,False,False,False,1
300988,12km,F,28,25-34,13,True,155,True,False,True,0
300994,21km,H,48,45-54,83,False,155,True,False,True,0
301033,21km,F,39,35-44,13,True,155,False,False,False,4
301040,12km,H,26,25-34,13,True,155,False,False,True,2
301058,21km,H,37,35-44,94,False,155,False,False,True,1
301062,12km,F,29,25-34,27,False,155,False,False,True,1
301064,12km,F,25,25-34,13,True,155,False,False,True,2
301068,21km,H,46,45-54,13,True,155,False,False,False,4
301074,12km,F,31,25-34,13,True,155,False,False,True,2
301151,21km,H,41,35-44,13,True,155,False,False,True,4
301161,12km,H,33,25-34,13,True,155,True,False,True,0
301221,21km,F,32,25-34,13,True,155,False,False,False,4
301222,21km,H,36,35-44,13,True,155,False,False,True,4
301241,21km,H,47,45-54,13,True,155,False,False,True,4
301245,21km,H,20,18-24,13,True,155,False,False,True,4
301268,21km,H,46,45-54,13,True,155,False,False,False,4
301295,12km,H,39,35-44,13,True,125,False,False,False,2
301316,21km,H,27,25-34,13,True,125,False,False,True,4
301328,21km,H,35,35-44,13,True,125,False,False,True,4
301362,21km,H,45,45-54,13,True,125,True,False,True,0
301383,21km,H,39,35-44,13,True,125,False,False,True,4
301397,21km,H,34,25-34,13,True,125,True,False,True,0
301405,21km,H,44,35-44,13,True,125,True,False,True,0
301436,21km,F,32,25-34,13,True,125,True,False,True,0
301442,21km,H,38,35-44,17,False,125,True,False,True,0
301446,21km,H,37,35-44,13,True,125,False,False,True,4
301449,12km,F,35,35-44,13,True,125,False,False,True,2
301455,12km,F,33,25-34,13,True,125,False,False,True,2
301457,21km,H,35,35-44,05,False,125,False,False,True,1
301460,21km,H,30,25-34,13,True,125,False,False,True,4
301470,21km,H,31,25-34,13,True,125,False,False,True,4
301471,21km,H,39,35-44,13,True,125,False,False,True,4
301473,21km,F,32,25-34,13,True,125,False,False,False,4
301477,12km,F,25,25-34,13,True,125,True,False,True,0
301480,21km,H,32,25-34,13,True,125,False,False,True,4
301488,21km,H,36,35-44,13,True,125,False,False,True,4
301565,21km,H,39,35-44,13,True,125,False,False,True,4
301611,12km,F,31,25-34,13,True,125,False,False,True,2
301661,21km,H,29,25-34,13,True,125,False,False,False,4
301706,21km,H,31,25-34,13,True,125,True,False,True,0
301743,12km,H,37,35-44,13,True,125,False,False,True,2
301795,21km,H,51,45-54,13,True,125,False,False,True,4
301799,12km,H,50,45-54,53,False,125,False,False,False,1
301850,12km,F,30,25-34,13,True,125,False,False,True,2
301857,12km,F,29,25-34,13,True,125,False,False,True,2
301892,21km,H,32,25-34,13,True,125,False,False,True,4
301940,21km,F,37,35-44,13,True,125,False,False,True,4
301953,21km,F,39,35-44,83,False,125,False,False,False,1
301964,21km,F,38,35-44,13,True,125,True,False,True,0
302069,12km,H,68,65+,74,False,125,True,False,True,0
302089,21km,F,35,35-44,83,False,125,False,False,False,1
302092,12km,F,33,25-34,13,True,125,True,False,True,0
302095,12km,H,37,35-44,13,True,125,True,False,True,0
302099,21km,H,30,25-34,75,False,125,True,False,True,0
302103,21km,F,29,25-34,04,False,125,True,False,False,0
302108,21km,H,30,25-34,75,False,125,True,False,True,0
302150,21km,F,60,55-64,13,True,94,True,False,True,0
302169,12km,F,24,18-24,13,True,94,False,False,True,2
302170,21km,H,53,45-54,13,True,94,False,False,True,4
302191,21km,F,42,35-44,13,True,94,False,False,True,4
302193,21km,F,19,18-24,13,True,94,False,False,True,4
302204,12km,H,56,55-64,13,True,94,False,False,True,2
302249,12km,F,33,25-34,13,True,94,True,True,True,0
302254,21km,H,47,45-54,13,True,94,False,True,False,3
302265,12km,H,38,35-44,13,True,94,False,False,True,2
302274,21km,H,37,35-44,13,True,94,True,True,True,0
302278,21km,F,29,25-34,30,False,94,True,True,True,0
302282,21km,H,26,25-34,13,True,94,False,False,True,4
302285,21km,F,32,25-34,13,True,94,False,True,True,3
302292,21km,F,27,25-34,13,True,94,True,True,False,0
302309,12km,H,35,35-44,13,True,94,True,True,True,0
302312,21km,H,53,45-54,46,False,94,False,True,True,3
302318,12km,H,43,35-44,13,True,94,False,False,True,2
302340,21km,H,46,45-54,13,True,94,False,False,True,4
302342,21km,H,44,35-44,13,True,94,True,False,True,0
302449,12km,F,59,55-64,13,True,94,False,False,True,2
302452,21km,H,40,35-44,13,True,94,False,False,True,4
302480,12km,H,26,25-34,13,True,94,True,True,True,0
302514,21km,H,56,55-64,26,False,94,False,False,False,1
302559,21km,H,32,25-34,13,True,94,True,True,True,0
302640,12km,H,38,35-44,13,True,63,True,False,True,0
302681,12km,H,38,35-44,13,True,63,False,False,True,2
302713,12km,H,42,35-44,83,False,63,False,False,True,1
302720,12km,H,57,55-64,13,True,63,False,False,True,2
302758,12km,F,48,45-54,13,True,63,True,False,False,0
302760,12km,F,40,35-44,30,False,63,False,False,True,1
302764,12km,H,60,55-64,13,True,63,False,False,False,2
302827,21km,H,51,45-54,13,True,63,False,False,False,4
302854,21km,F,44,35-44,13,True,63,True,False,True,0
302857,21km,H,48,45-54,13,True,63,False,False,True,4
302885,21km,H,40,35-44,13,True,63,False,False,False,4
302892,21km,H,37,35-44,30,False,63,False,False,False,1
302905,12km,F,28,25-34,34,False,63,False,False,True,1
302916,21km,H,28,25-34,13,True,63,True,False,True,0
302929,21km,H,30,25-34,13,True,63,False,False,True,4
302941,21km,H,31,25-34,13,True,63,False,False,True,4
302942,21km,H,48,45-54,13,True,63,False,False,True,4
302944,12km,F,28,25-34,13,True,63,False,False,False,2
302995,21km,H,32,25-34,13,True,63,False,False,True,4
303019,21km,F,34,25-34,13,True,63,False,False,True,4
303029,21km,F,34,25-34,13,True,63,False,False,True,4
303042,21km,H,31,25-34,13,True,63,False,False,True,4
303068,21km,F,48,45-54,07,False,33,False,False,True,1
303082,12km,F,49,45-54,13,True,33,False,False,True,2
303127,21km,H,35,35-44,13,True,33,False,False,True,4
303189,12km,H,55,55-64,13,True,33,False,False,True,2
303204,12km,H,33,25-34,04,False,33,True,False,True,0
303304,12km,H,38,35-44,13,True,33,False,False,True,2
303314,12km,H,38,35-44,13,True,33,False,False,True,2
303374,12km,F,36,35-44,30,False,33,True,False,True,0
303405,21km,H,36,35-44,13,True,33,False,True,True,3
303408,21km,H,54,45-54,94,False,33,False,False,True,1
303525,12km,F,48,45-54,13,True,33,False,False,True,2
303531,21km,H,40,35-44,13,True,33,False,False,True,4
303535,21km,F,40,35-44,13,True,33,False,False,True,4
303548,12km,H,38,35-44,13,True,33,False,False,True,2
303594,12km,H,37,35-44,13,True,33,False,False,False,2
303598,12km,H,38,35-44,13,True,33,False,False,False,2
303617,12km,F,28,25-34,13,True,33,False,False,True,2
303618,12km,H,28,25-34,13,True,33,False,False,True,2
303655,21km,F,27,25-34,13,True,2,False,True,False,3
303679,12km,H,58,55-64,13,True,2,False,False,False,2
303708,12km,H,40,35-44,13,True,2,False,False,True,2
303710,21km,H,33,25-34,13,True,2,False,False,False,4
303820,21km,H,52,45-54,13,True,2,False,False,True,4
303856,12km,H,67,65+,84,False,2,True,False,True,0
303940,12km,F,54,45-54,13,True,2,False,False,True,2
303952,21km,H,44,35-44,13,True,2,True,False,True,0
304081,12km,F,36,35-44,13,True,2,False,False,True,2
304098,12km,F,31,25-34,13,True,2,False,False,True,2
304111,12km,H,39,35-44,13,True,2,False,False,True,2
304181,21km,H,32,25-34,13,True,2,False,False,True,4
304198,12km,F,28,25-34,13,True,-28,False,True,True,3
304199,12km,H,29,25-34,13,True,-28,False,True,False,3
304228,12km,F,39,35-44,13,True,-28,False,False,True,2
304232,12km,H,42,35-44,13,True,-28,False,False,True,2
304240,12km,F,40,35-44,31,False,-28,False,False,True,1
304405,12km,F,46,45-54,13,True,-28,False,False,True,2
304509,21km,H,45,45-54,13,True,-28,False,False,True,4
304551,12km,H,40,35-44,13,True,-28,False,False,True,2
304650,21km,H,28,25-34,13,True,-28,True,True,True,0
304667,21km,H,38,35-44,13,True,-28,False,False,True,4
304809,21km,H,32,25-34,13,True,148,False,False,True,4
304829,21km,H,34,25-34,13,True,148,True,False,True,0
304992,12km,F,33,25-34,13,True,148,False,False,True,2
305180,21km,H,37,35-44,13,True,148,False,False,True,4
305411,21km,H,41,35-44,13,True,147,False,True,True,3
305707,21km,H,32,25-34,13,True,147,False,True,True,3
305714,12km,F,28,25-34,26,False,147,False,False,True,1
305720,12km,H,29,25-34,26,False,147,False,False,True,1
305813,12km,F,38,35-44,13,True,147,False,False,True,2
306103,12km,F,47,45-54,13,True,146,False,False,True,2
306110,12km,H,44,35-44,13,True,146,False,False,True,2
306243,21km,H,40,35-44,13,True,146,False,False,True,4
306295,21km,H,49,45-54,13,True,146,False,False,False,4
306341,21km,H,46,45-54,42,False,146,True,False,True,0
306343,21km,H,49,45-54,42,False,146,False,False,True,1
306345,21km,H,46,45-54,42,False,146,True,False,True,0
306351,21km,H,50,45-54,13,True,146,False,False,True,4
306354,21km,H,50,45-54,13,True,146,False,False,True,4
306398,12km,H,52,45-54,13,True,146,False,False,True,2
306420,12km,F,28,25-34,13,True,146,False,False,True,2
306421,12km,H,55,55-64,64,False,146,False,False,True,1
306456,12km,H,57,55-64,13,True,146,False,False,True,2
306457,12km,F,25,25-34,13,True,146,False,False,True,2
306691,12km,F,56,55-64,13,True,145,False,False,True,2
306692,12km,F,28,25-34,13,True,145,False,False,True,2
306696,21km,H,39,35-44,13,True,145,False,False,True,4
306699,21km,F,34,25-34,13,True,145,False,False,True,4
306763,12km,H,51,45-54,13,True,145,False,False,True,2
306787,12km,F,31,25-34,75,False,145,False,False,True,1
306788,12km,F,31,25-34,75,False,145,False,False,True,1
306835,21km,H,24,18-24,77,False,145,False,False,False,1
306838,21km,F,23,18-24,77,False,145,False,False,False,1
306864,12km,H,28,25-34,13,True,145,False,False,True,2
306867,12km,F,31,25-34,13,True,145,False,False,True,2
306926,12km,H,34,25-34,13,True,145,False,False,True,2
306941,12km,F,39,35-44,13,True,145,False,False,True,2
306948,21km,H,50,45-54,26,False,145,False,False,True,1
306950,21km,F,54,45-54,26,False,145,True,False,True,0
306971,12km,F,25,25-34,13,True,145,False,False,True,2
307220,21km,H,42,35-44,04,False,144,False,False,True,1
307223,21km,H,42,35-44,04,False,144,False,False,True,1
307389,12km,F,28,25-34,13,True,144,True,False,True,0
307872,21km,F,50,45-54,13,True,144,True,False,True,0
308174,12km,H,71,65+,06,False,143,False,False,True,1
308366,12km,H,35,35-44,83,False,143,False,False,True,1
308398,21km,H,34,25-34,13,True,143,True,True,True,0
308450,21km,F,25,25-34,13,True,143,True,True,True,0
308509,21km,H,37,35-44,,False,143,False,False,False,1
308554,21km,F,59,55-64,13,True,143,True,False,True,0
309072,12km,H,36,35-44,13,True,142,False,True,True,3
309365,12km,F,59,55-64,13,True,142,False,False,False,2
309455,12km,F,59,55-64,74,False,141,False,False,False,1
309649,12km,F,41,35-44,13,True,141,False,False,True,2
309871,21km,H,70,65+,13,True,141,False,False,True,4
310072,21km,F,27,25-34,13,True,140,False,True,True,3
310416,12km,F,49,45-54,13,True,140,False,False,True,2
311076,21km,H,31,25-34,13,True,139,True,False,True,0
311078,12km,H,38,35-44,13,True,139,False,True,True,3
311079,12km,F,38,35-44,13,True,139,False,False,True,2
311082,21km,H,28,25-34,38,False,139,False,False,False,1
311181,12km,F,25,25-34,29,False,138,False,False,True,1
311232,12km,F,34,25-34,13,True,138,False,False,True,2
311682,21km,H,52,45-54,13,True,137,False,False,True,4
311931,21km,H,34,25-34,13,True,136,False,False,False,4
312418,12km,F,33,25-34,13,True,135,True,True,True,0
312419,12km,F,33,25-34,13,True,135,False,True,True,3
312434,21km,H,30,25-34,13,True,135,False,False,True,4
312459,21km,H,26,25-34,13,True,135,False,False,True,4
312742,21km,F,36,35-44,13,True,134,False,False,True,4
312743,21km,H,39,35-44,44,False,134,True,False,True,0
312820,21km,H,23,18-24,13,True,134,True,True,True,0
312892,12km,F,30,25-34,13,True,134,True,True,True,0
313260,12km,F,29,25-34,13,True,133,False,False,False,2
313520,21km,H,50,45-54,13,True,132,False,False,True,4
313688,21km,F,25,25-34,13,True,132,True,True,True,0
313746,21km,H,45,45-54,83,False,132,True,False,False,0
313748,21km,F,43,35-44,83,False,132,False,False,False,1
313816,12km,F,36,35-44,13,True,131,False,False,True,2
313915,12km,F,37,35-44,13,True,131,False,False,True,2
313916,12km,H,58,55-64,13,True,131,False,False,True,2
314754,12km,F,26,25-34,13,True,306,False,True,False,3
314784,12km,F,40,35-44,13,True,306,True,True,True,0
314808,21km,H,38,35-44,13,True,306,True,False,True,0
314841,21km,H,39,35-44,13,True,306,True,False,True,0
314874,21km,H,31,25-34,13,True,306,True,False,True,0
315064,12km,F,36,35-44,13,True,275,True,True,True,0
315070,21km,H,66,65+,30,False,275,False,False,True,1
315074,12km,F,69,65+,30,False,275,False,False,True,1
315303,21km,H,49,45-54,71,False,275,False,False,True,1
315304,21km,F,49,45-54,71,False,275,False,False,True,1
315363,21km,F,26,25-34,44,False,275,False,False,True,1
315540,21km,H,26,25-34,75,False,246,False,False,True,1
315884,21km,F,35,35-44,13,True,215,True,True,True,0
316044,21km,F,40,35-44,76,False,215,False,False,True,1
316113,21km,F,35,35-44,75,False,215,False,True,False,3
316319,21km,F,39,35-44,84,False,215,False,False,True,1
316366,21km,H,31,25-34,92,False,185,False,False,False,1
316367,21km,H,31,25-34,92,False,185,False,False,True,1
316714,12km,H,27,25-34,75,False,154,False,False,False,1
316842,21km,F,36,35-44,83,False,154,True,True,True,0
316915,21km,H,34,25-34,75,False,154,False,True,False,3
317168,12km,H,51,45-54,74,False,124,False,False,True,1
317171,12km,F,52,45-54,74,False,124,False,False,True,1
317459,12km,H,26,25-34,13,True,93,False,False,True,2
317469,12km,F,33,25-34,13,True,93,False,False,True,2
318662,12km,F,30,25-34,75,False,32,False,True,False,3
318668,21km,H,62,55-64,13,True,32,True,False,True,0
318774,21km,H,29,25-34,13,True,32,True,True,True,0
318785,21km,H,57,55-64,69,False,32,False,True,True,3
319373,12km,F,25,25-34,13,True,1,False,False,False,2
319543,12km,F,34,25-34,13,True,-29,False,False,False,2
319600,12km,F,31,25-34,13,True,-29,False,False,True,2
319668,21km,F,37,35-44,05,False,-29,False,False,True,1
319799,21km,H,30,25-34,13,True,-29,False,False,True,4
320287,21km,F,44,35-44,13,True,117,False,False,False,4
320414,12km,H,22,18-24,13,True,117,False,False,True,2
320417,12km,H,19,18-24,13,True,117,False,False,False,2
320437,12km,H,51,45-54,42,False,117,False,False,True,1
320440,12km,F,50,45-54,42,False,117,False,False,True,1
320442,12km,H,18,18-24,42,False,117,False,False,True,1
320809,21km,H,45,45-54,13,True,116,False,False,True,4
320810,21km,F,45,45-54,13,True,116,False,False,True,4
321321,21km,H,55,55-64,73,False,115,False,False,True,1
321323,21km,F,48,45-54,73,False,115,False,False,True,1
321773,21km,H,59,55-64,38,False,115,True,True,True,0
321892,21km,F,41,35-44,13,True,115,False,False,True,4
322014,12km,H,71,65+,13,True,114,False,False,True,2
322201,21km,H,37,35-44,83,False,114,False,False,True,1
322406,12km,H,33,25-34,13,True,113,False,False,True,2
322842,21km,F,27,25-34,13,True,113,False,True,True,3
322927,21km,F,48,45-54,83,False,112,False,False,True,1
322928,21km,H,50,45-54,83,False,112,False,False,True,1
322945,21km,F,43,35-44,75,False,112,False,False,True,1
322959,21km,F,39,35-44,13,True,112,False,False,True,4
323097,12km,H,64,55-64,13,True,112,False,False,True,2
323117,21km,F,47,45-54,13,True,112,True,False,True,0
323926,12km,H,30,25-34,69,False,110,False,True,True,3
324304,21km,H,41,35-44,84,False,109,False,False,True,1
324967,21km,H,38,35-44,13,True,108,False,False,True,4
325513,21km,H,38,35-44,83,False,107,False,False,True,1
326052,21km,F,32,25-34,13,True,106,False,True,True,3
326827,21km,H,30,25-34,13,True,105,False,False,True,4
327152,12km,F,32,25-34,13,True,103,False,False,True,2
327154,12km,F,31,25-34,13,True,103,False,False,True,2
