CLUB,present
#LAMAURIENNE,1.0
CEPAC,1.0
LA FOULEE ROMAINE,1.0
KANAJOG,1.0
WAKE UP CAFE,1.0
Running Club des Catalans,1.0
LCT,1.0
LE CLUB CAMPUS,1.0
MMRC,1.0
Maison Mère Running Club,1.0
OLYMPIQUE CABRIES CALAS,1.0
RUNNING CLUB CATALANS,1.0
SCO STE-MARGUERITE MARSEILLE*,1.0
Running club catalans,1.0
RCC,0.9333333333333333
GRC,0.8888888888888888
Running Club Catalans,0.8571428571428571
Courir à Meyreuil,0.75
Massilia Triathlon,0.6666666666666666
SCO STE MARGUERITE,0.6666666666666666
